,0,1.00E-07,2.00E-07,3.00E-07,4.00E-07,5.00E-07
0,408.567,89.9303,817.454,4189.56,21346.2,57874.8
1.00E-14,422.178,86.7256,768.577,3984.23,17003,99999
2.00E-14,435.835,85.6819,735.932,3779.15,16698.1,56467.3
3.00E-14,446.693,84.7416,707.757,3578.91,12891.1,55498.9
4.00E-14,458.974,84.6438,671.924,3426.87,12092,54555.7
5.00E-14,475.022,83.652,629.556,3270.85,11662.2,55871.7
6.00E-14,494.288,83.5453,589.175,3141.85,11124.5,55874.8
7.00E-14,517.751,87.726,552.927,3009.24,10391.9,99999
8.00E-14,551.422,95.6706,516.412,2867.25,10088.9,54386
9.00E-14,573.863,102.827,490.504,2722.32,9463.32,50827.1
